,Year,Continent,Disaster Type,counts
227,1930,Americas,Transport accident,1
228,1930,Asia,Earthquake,10
229,1930,Asia,Volcanic activity,1
230,1930,Europe,Earthquake,4
231,1930,Europe,Flood,1
232,1930,Europe,Industrial accident,2
233,1930,Europe,Landslide,1
234,1930,Europe,Storm,2
235,1930,Europe,Transport accident,2
236,1931,Americas,Drought,1
237,1931,Americas,Earthquake,1
238,1931,Americas,Landslide,1
239,1931,Americas,Storm,2
240,1931,Asia,Earthquake,2
241,1931,Asia,Flood,1
242,1931,Asia,Storm,1
243,1931,Asia,Volcanic activity,1
244,1931,Europe,Earthquake,1
245,1931,Europe,Industrial accident,1
246,1931,Europe,Transport accident,1
247,1931,Oceania,Earthquake,2
248,1931,Oceania,Storm,1
249,1932,Americas,Earthquake,2
250,1932,Americas,Epidemic,1
251,1932,Americas,Storm,4
252,1932,Asia,Earthquake,3
253,1932,Asia,Storm,1
254,1932,Europe,Complex Disasters,1
255,1932,Europe,Earthquake,1
256,1932,Europe,Industrial accident,1
257,1932,Europe,Landslide,1
258,1933,Americas,Drought,1
259,1933,Americas,Earthquake,1
260,1933,Americas,Flood,1
261,1933,Americas,Storm,3
262,1933,Americas,Transport accident,1
263,1933,Asia,Earthquake,3
264,1933,Asia,Flood,1
265,1933,Europe,Earthquake,1
266,1933,Europe,Transport accident,5
267,1934,Americas,Storm,1
268,1934,Americas,Transport accident,1
269,1934,Asia,Earthquake,2
270,1934,Asia,Landslide,1
271,1934,Asia,Miscellaneous accident,1
272,1934,Asia,Storm,3
273,1934,Europe,Earthquake,1
274,1934,Europe,Industrial accident,1
275,1934,Europe,Transport accident,1
276,1934,Oceania,Transport accident,1
277,1935,Africa,Epidemic,1
278,1935,Africa,Transport accident,1
279,1935,Americas,Storm,5
280,1935,Americas,Transport accident,3
281,1935,Asia,Earthquake,7
282,1935,Asia,Flood,1
283,1935,Asia,Storm,2
284,1935,Europe,Industrial accident,1
285,1935,Europe,Transport accident,6
286,1936,Americas,Earthquake,3
287,1936,Americas,Extreme temperature,2
288,1936,Americas,Flood,1
289,1936,Americas,Storm,1
290,1936,Americas,Transport accident,7
291,1936,Asia,Earthquake,8
292,1936,Asia,Industrial accident,1
293,1936,Asia,Storm,4
294,1936,Europe,Industrial accident,1
295,1936,Europe,Landslide,1
296,1936,Europe,Transport accident,3
297,1937,Africa,Transport accident,1
298,1937,Americas,Earthquake,1
299,1937,Americas,Flood,2
300,1937,Americas,Mass movement (dry),1
301,1937,Americas,Transport accident,3
302,1937,Asia,Earthquake,2
303,1937,Asia,Miscellaneous accident,1
304,1937,Asia,Storm,3
305,1937,Asia,Transport accident,1
306,1937,Europe,Transport accident,4
307,1937,Oceania,Volcanic activity,1
308,1938,Africa,Transport accident,1
309,1938,Americas,Industrial accident,1
310,1938,Americas,Landslide,1
311,1938,Americas,Miscellaneous accident,1
312,1938,Americas,Storm,1
313,1938,Americas,Transport accident,4
314,1938,Asia,Earthquake,2
315,1938,Asia,Flood,1
316,1938,Asia,Storm,1
317,1938,Asia,Transport accident,3
318,1938,Europe,Transport accident,10
319,1938,Oceania,Flood,1
320,1938,Oceania,Transport accident,1
321,1939,Africa,Earthquake,1
322,1939,Americas,Earthquake,2
323,1939,Americas,Miscellaneous accident,1
324,1939,Americas,Transport accident,3
325,1939,Asia,Earthquake,4
326,1939,Asia,Flood,1
327,1939,Asia,Storm,1
328,1939,Europe,Flood,1
329,1939,Europe,Industrial accident,2
330,1939,Europe,Transport accident,4
331,1939,Oceania,Storm,1
332,1939,Oceania,Wildfire,1
333,1940,Africa,Drought,9
334,1940,Africa,Epidemic,1
335,1940,Americas,Earthquake,2
336,1940,Americas,Flood,1
337,1940,Americas,Miscellaneous accident,1
338,1940,Americas,Storm,1
339,1940,Americas,Transport accident,3
340,1940,Asia,Earthquake,4
341,1940,Asia,Storm,1
342,1940,Europe,Earthquake,1
343,1940,Europe,Industrial accident,1
344,1940,Europe,Transport accident,3
345,1940,Oceania,Storm,1
346,1940,Oceania,Transport accident,1
347,1941,Africa,Transport accident,2
348,1941,Americas,Landslide,1
349,1941,Americas,Miscellaneous accident,1
350,1941,Americas,Transport accident,3
351,1941,Asia,Earthquake,8
352,1941,Asia,Storm,1
353,1941,Asia,Transport accident,1
354,1941,Europe,Transport accident,7
355,1941,Oceania,Storm,1
356,1942,Africa,Transport accident,1
357,1942,Americas,Earthquake,2
358,1942,Americas,Miscellaneous accident,2
359,1942,Americas,Transport accident,7
360,1942,Asia,Drought,1
361,1942,Asia,Earthquake,5
362,1942,Asia,Industrial accident,1
363,1942,Asia,Storm,2
364,1942,Asia,Transport accident,2
365,1942,Europe,Earthquake,1
366,1942,Europe,Industrial accident,2
367,1942,Europe,Transport accident,1
368,1942,Oceania,Storm,1
369,1942,Oceania,Transport accident,1
370,1943,Africa,Transport accident,2
371,1943,Americas,Earthquake,2
372,1943,Americas,Flood,1
373,1943,Americas,Transport accident,15
374,1943,Americas,Volcanic activity,1
375,1943,Asia,Drought,1
376,1943,Asia,Earthquake,6
377,1943,Asia,Flood,1
378,1943,Asia,Storm,2
379,1943,Asia,Transport accident,1
380,1943,Europe,Earthquake,1
381,1943,Europe,Transport accident,6
382,1943,Oceania,Storm,1
383,1944,Africa,Insect infestation,1
384,1944,Americas,Earthquake,1
385,1944,Americas,Miscellaneous accident,1
386,1944,Americas,Storm,3
387,1944,Americas,Transport accident,7
388,1944,Americas,Wildfire,1
389,1944,Asia,Earthquake,5
390,1944,Asia,Storm,2
391,1944,Asia,Transport accident,1
392,1944,Europe,Transport accident,10
393,1944,Europe,Volcanic activity,1
394,1944,Oceania,Wildfire,1
395,1945,Americas,Storm,4
396,1945,Asia,Earthquake,6
397,1945,Asia,Storm,3
398,1945,Asia,Volcanic activity,1
399,1945,Europe,Earthquake,2
400,1945,Europe,Epidemic,1
401,1945,Europe,Transport accident,1
402,1946,Africa,Drought,1
403,1946,Africa,Earthquake,1
404,1946,Americas,Earthquake,4
405,1946,Americas,Miscellaneous accident,3
406,1946,Americas,Storm,2
407,1946,Americas,Transport accident,3
408,1946,Asia,Earthquake,4
409,1946,Asia,Storm,1
410,1946,Europe,Earthquake,1
411,1946,Europe,Industrial accident,2
412,1946,Europe,Miscellaneous accident,1
413,1946,Europe,Storm,1
414,1946,Oceania,Storm,1
415,1946,Oceania,Volcanic activity,1
416,1947,Africa,Epidemic,1
417,1947,Americas,Earthquake,1
418,1947,Americas,Industrial accident,1
419,1947,Americas,Storm,4
420,1947,Americas,Transport accident,1
421,1947,Americas,Wildfire,1
422,1947,Asia,Drought,1
423,1947,Asia,Earthquake,1
424,1947,Asia,Flood,1
425,1947,Asia,Storm,3
426,1947,Asia,Transport accident,1
427,1947,Europe,Earthquake,1
428,1947,Europe,Industrial accident,2
429,1947,Europe,Transport accident,1
430,1948,Africa,Storm,1
431,1948,Africa,Transport accident,2
432,1948,Americas,Flood,2
433,1948,Americas,Storm,4
434,1948,Americas,Volcanic activity,1
435,1948,Asia,Earthquake,5
436,1948,Asia,Flood,3
437,1948,Asia,Industrial accident,1
438,1948,Asia,Landslide,1
439,1948,Asia,Storm,3
440,1948,Asia,Transport accident,1
441,1948,Europe,Earthquake,2
442,1948,Europe,Industrial accident,1
443,1948,Europe,Landslide,1
444,1948,Europe,Storm,1
445,1948,Europe,Transport accident,1
446,1948,Oceania,Storm,1
447,1949,Americas,Earthquake,4
448,1949,Americas,Flood,1
449,1949,Americas,Storm,3
450,1949,Americas,Transport accident,2
451,1949,Americas,Volcanic activity,2
452,1949,Asia,Earthquake,2
453,1949,Asia,Flood,1
454,1949,Asia,Miscellaneous accident,1
455,1949,Asia,Storm,5
456,1949,Europe,Earthquake,1
457,1949,Europe,Landslide,1
458,1949,Europe,Transport accident,1
459,1949,Europe,Wildfire,1
460,1950,Africa,Epidemic,1
461,1950,Americas,Earthquake,3
462,1950,Americas,Flood,3
463,1950,Americas,Landslide,1
464,1950,Americas,Storm,5
465,1950,Americas,Transport accident,3
466,1950,Asia,Earthquake,4
467,1950,Asia,Flood,7
468,1950,Asia,Industrial accident,1
469,1950,Asia,Storm,2
470,1950,Asia,Volcanic activity,1
471,1950,Europe,Industrial accident,1
472,1950,Europe,Transport accident,1
473,1951,Africa,Flood,1
474,1951,Africa,Storm,1
475,1951,Americas,Earthquake,2
476,1951,Americas,Extreme temperature,2
477,1951,Americas,Flood,1
478,1951,Americas,Miscellaneous accident,1
479,1951,Americas,Storm,2
480,1951,Americas,Transport accident,1
481,1951,Asia,Earthquake,4
482,1951,Asia,Flood,3
483,1951,Asia,Storm,6
484,1951,Asia,Volcanic activity,2
485,1951,Europe,Flood,2
486,1951,Europe,Landslide,1
487,1951,Europe,Transport accident,1
488,1951,Oceania,Earthquake,1
489,1951,Oceania,Storm,2
490,1951,Oceania,Volcanic activity,1
491,1952,Africa,Flood,1
492,1952,Africa,Storm,1
493,1952,Africa,Transport accident,1
494,1952,Americas,Earthquake,5
495,1952,Americas,Flood,2
496,1952,Americas,Industrial accident,1
497,1952,Americas,Storm,2
498,1952,Asia,Earthquake,7
499,1952,Asia,Storm,5
500,1952,Asia,Volcanic activity,1
501,1952,Europe,Earthquake,1
502,1952,Europe,Flood,1
503,1952,Europe,Fog,1
504,1952,Europe,Industrial accident,1
