,Unnamed: 0,Unnamed: 0.1,Disaster Type,Country,ISO,counts,latitude,Longitude
0,0,0,Animal accident,Niger (the),NER,1,16,8
1,111,111,Drought,Niger (the),NER,16,16,8
2,384,384,Epidemic,Niger (the),NER,44,16,8
3,646,646,Flood,Niger (the),NER,31,16,8
4,745,745,Insect infestation,Niger (the),NER,6,16,8
5,1004,1004,Storm,Niger (the),NER,1,16,8
215,36,36,Drought,Cabo Verde,CPV,10,16,-24
216,302,302,Epidemic,Cabo Verde,CPV,2,16,-24
217,551,551,Flood,Cabo Verde,CPV,1,16,-24
218,724,724,Insect infestation,Cabo Verde,CPV,2,16,-24
219,909,909,Storm,Cabo Verde,CPV,3,16,-24
220,1078,1078,Volcanic activity,Cabo Verde,CPV,2,16,-24
909,155,155,Drought,Viet Nam,VNM,7,16,106
910,436,436,Epidemic,Viet Nam,VNM,11,16,106
911,708,708,Flood,Viet Nam,VNM,94,16,106
912,758,758,Insect infestation,Viet Nam,VNM,1,16,106
913,854,854,Landslide,Viet Nam,VNM,6,16,106
914,1070,1070,Storm,Viet Nam,VNM,123,16,106
915,1193,1193,Wildfire,Viet Nam,VNM,1,16,106
6,1,1,Complex Disasters,Armenia,ARM,1,40,45
7,22,22,Drought,Armenia,ARM,1,40,45
8,166,166,Earthquake,Armenia,ARM,2,40,45
9,445,445,Extreme temperature,Armenia,ARM,1,40,45
10,532,532,Flood,Armenia,ARM,3,40,45
11,766,766,Landslide,Armenia,ARM,1,40,45
12,890,890,Storm,Armenia,ARM,4,40,45
58,8,8,Complex Disasters,Korea (the Democratic People's Republic of),PRK,1,40,127
59,86,86,Drought,Korea (the Democratic People's Republic of),PRK,4,40,127
60,352,352,Epidemic,Korea (the Democratic People's Republic of),PRK,3,40,127
61,482,482,Extreme temperature,Korea (the Democratic People's Republic of),PRK,1,40,127
62,613,613,Flood,Korea (the Democratic People's Republic of),PRK,28,40,127
63,970,970,Storm,Korea (the Democratic People's Republic of),PRK,10,40,127
798,135,135,Drought,Spain,ESP,4,40,-4
799,260,260,Earthquake,Spain,ESP,3,40,-4
800,414,414,Epidemic,Spain,ESP,3,40,-4
801,512,512,Extreme temperature,Spain,ESP,10,40,-4
802,681,681,Flood,Spain,ESP,36,40,-4
803,837,837,Landslide,Spain,ESP,1,40,-4
804,1044,1044,Storm,Spain,ESP,27,40,-4
805,1182,1182,Wildfire,Spain,ESP,17,40,-4
1023,272,272,Earthquake,Turkmenistan,TKM,1,40,60
1024,698,698,Flood,Turkmenistan,TKM,1,40,60
13,2,2,Complex Disasters,Bangladesh,BGD,1,24,90
14,25,25,Drought,Bangladesh,BGD,7,24,90
15,171,171,Earthquake,Bangladesh,BGD,9,24,90
16,291,291,Epidemic,Bangladesh,BGD,31,24,90
17,449,449,Extreme temperature,Bangladesh,BGD,24,24,90
18,537,537,Flood,Bangladesh,BGD,96,24,90
19,771,771,Landslide,Bangladesh,BGD,6,24,90
20,895,895,Storm,Bangladesh,BGD,181,24,90
1133,701,701,Flood,United Arab Emirates (the),ARE,1,24,54
21,3,3,Complex Disasters,Burundi,BDI,1,-3.5,30
22,35,35,Drought,Burundi,BDI,6,-3.5,30
23,178,178,Earthquake,Burundi,BDI,1,-3.5,30
24,301,301,Epidemic,Burundi,BDI,15,-3.5,30
25,550,550,Flood,Burundi,BDI,29,-3.5,30
26,776,776,Landslide,Burundi,BDI,3,-3.5,30
27,908,908,Storm,Burundi,BDI,7,-3.5,30
28,4,4,Complex Disasters,Cambodia,KHM,1,13,105
29,37,37,Drought,Cambodia,KHM,6,13,105
30,303,303,Epidemic,Cambodia,KHM,9,13,105
31,552,552,Flood,Cambodia,KHM,21,13,105
32,910,910,Storm,Cambodia,KHM,6,13,105
64,9,9,Complex Disasters,Nicaragua,NIC,1,13,-85
65,110,110,Drought,Nicaragua,NIC,6,13,-85
66,238,238,Earthquake,Nicaragua,NIC,10,13,-85
67,383,383,Epidemic,Nicaragua,NIC,13,13,-85
68,645,645,Flood,Nicaragua,NIC,23,13,-85
69,821,821,Landslide,Nicaragua,NIC,1,13,-85
70,1003,1003,Storm,Nicaragua,NIC,24,13,-85
71,1098,1098,Volcanic activity,Nicaragua,NIC,5,13,-85
72,1166,1166,Wildfire,Nicaragua,NIC,3,13,-85
211,34,34,Drought,Burkina Faso,BFA,14,13,-2
212,300,300,Epidemic,Burkina Faso,BFA,25,13,-2
213,549,549,Flood,Burkina Faso,BFA,23,13,-2
214,723,723,Insect infestation,Burkina Faso,BFA,3,13,-2
700,118,118,Drought,Philippines (the),PHL,10,13,122
701,243,243,Earthquake,Philippines (the),PHL,40,13,122
702,394,394,Epidemic,Philippines (the),PHL,22,13,122
703,656,656,Flood,Philippines (the),PHL,152,13,122
704,749,749,Insect infestation,Philippines (the),PHL,2,13,122
705,827,827,Landslide,Philippines (the),PHL,31,13,122
706,877,877,Mass movement (dry),Philippines (the),PHL,3,13,122
707,1017,1017,Storm,Philippines (the),PHL,370,13,122
708,1102,1102,Volcanic activity,Philippines (the),PHL,28,13,122
709,1171,1171,Wildfire,Philippines (the),PHL,1,13,122
33,5,5,Complex Disasters,Central African Republic,CAF,1,7,21
34,40,40,Drought,Central African Republic,CAF,1,7,21
35,306,306,Epidemic,Central African Republic,CAF,13,7,21
36,556,556,Flood,Central African Republic,CAF,17,7,21
37,914,914,Storm,Central African Republic,CAF,10,7,21
38,1125,1125,Wildfire,Central African Republic,CAF,2,7,21
806,136,136,Drought,Sri Lanka,LKA,12,7,81
807,261,261,Earthquake,Sri Lanka,LKA,1,7,81
808,415,415,Epidemic,Sri Lanka,LKA,11,7,81
809,682,682,Flood,Sri Lanka,LKA,74,7,81
810,838,838,Landslide,Sri Lanka,LKA,6,7,81
811,1045,1045,Storm,Sri Lanka,LKA,11,7,81
39,6,6,Complex Disasters,Comoros (the),COM,1,-12.1667,44.25
40,45,45,Drought,Comoros (the),COM,1,-12.1667,44.25
41,183,183,Earthquake,Comoros (the),COM,1,-12.1667,44.25
42,311,311,Epidemic,Comoros (the),COM,6,-12.1667,44.25
43,561,561,Flood,Comoros (the),COM,2,-12.1667,44.25
44,919,919,Storm,Comoros (the),COM,9,-12.1667,44.25
45,1082,1082,Volcanic activity,Comoros (the),COM,6,-12.1667,44.25
46,7,7,Complex Disasters,India,IND,1,20,77
47,75,75,Drought,India,IND,16,20,77
48,210,210,Earthquake,India,IND,26,20,77
49,339,339,Epidemic,India,IND,70,20,77
50,475,475,Extreme temperature,India,IND,60,20,77
51,600,600,Flood,India,IND,306,20,77
52,716,716,Glacial lake outburst,India,IND,1,20,77
53,734,734,Insect infestation,India,IND,1,20,77
54,801,801,Landslide,India,IND,51,20,77
55,865,865,Mass movement (dry),India,IND,2,20,77
56,958,958,Storm,India,IND,203,20,77
57,1147,1147,Wildfire,India,IND,4,20,77
585,99,99,Drought,Mauritania,MRT,15,20,-12
586,369,369,Epidemic,Mauritania,MRT,6,20,-12
587,631,631,Flood,Mauritania,MRT,19,20,-12
588,742,742,Insect infestation,Mauritania,MRT,4,20,-12
589,988,988,Storm,Mauritania,MRT,3,20,-12
73,10,10,Complex Disasters,Panama,PAN,1,9,-80
74,114,114,Drought,Panama,PAN,4,9,-80
75,240,240,Earthquake,Panama,PAN,4,9,-80
76,390,390,Epidemic,Panama,PAN,5,9,-80
77,652,652,Flood,Panama,PAN,38,9,-80
78,1013,1013,Storm,Panama,PAN,8,9,-80
79,1167,1167,Wildfire,Panama,PAN,1,9,-80
581,98,98,Drought,Marshall Islands (the),MHL,2,9,168
582,367,367,Epidemic,Marshall Islands (the),MHL,1,9,168
583,630,630,Flood,Marshall Islands (the),MHL,2,9,168
584,986,986,Storm,Marshall Islands (the),MHL,2,9,168
80,12,12,Complex Disasters,Sudan (the),SDN,1,15,30
81,137,137,Drought,Sudan (the),SDN,9,15,30
82,262,262,Earthquake,Sudan (the),SDN,2,15,30
83,416,416,Epidemic,Sudan (the),SDN,40,15,30
84,513,513,Extreme temperature,Sudan (the),SDN,1,15,30
85,683,683,Flood,Sudan (the),SDN,40,15,30
86,753,753,Insect infestation,Sudan (the),SDN,6,15,30
87,1046,1046,Storm,Sudan (the),SDN,2,15,30
88,1183,1183,Wildfire,Sudan (the),SDN,1,15,30
94,14,14,Complex Disasters,Yemen,YEM,1,15,48
95,280,280,Earthquake,Yemen,YEM,1,15,48
96,437,437,Epidemic,Yemen,YEM,8,15,48
97,709,709,Flood,Yemen,YEM,34,15,48
98,855,855,Landslide,Yemen,YEM,3,15,48
99,1074,1074,Storm,Yemen,YEM,6,15,48
100,1111,1111,Volcanic activity,Yemen,YEM,1,15,48
236,41,41,Drought,Chad,TCD,11,15,19
237,307,307,Epidemic,Chad,TCD,23,15,19
238,557,557,Flood,Chad,TCD,20,15,19
239,726,726,Insect infestation,Chad,TCD,5,15,19
240,779,779,Landslide,Chad,TCD,1,15,19
241,915,915,Storm,Chad,TCD,3,15,19
342,58,58,Drought,Eritrea,ERI,3,15,39
343,575,575,Flood,Eritrea,ERI,2,15,39
344,730,730,Insect infestation,Eritrea,ERI,2,15,39
345,934,934,Storm,Eritrea,ERI,1,15,39
424,72,72,Drought,Honduras,HND,12,15,-86.5
425,207,207,Earthquake,Honduras,HND,3,15,-86.5
426,337,337,Epidemic,Honduras,HND,10,15,-86.5
427,596,596,Flood,Honduras,HND,38,15,-86.5
428,798,798,Landslide,Honduras,HND,1,15,-86.5
429,864,864,Mass movement (dry),Honduras,HND,1,15,-86.5
430,955,955,Storm,Honduras,HND,26,15,-86.5
431,1145,1145,Wildfire,Honduras,HND,1,15,-86.5
840,142,142,Drought,Thailand,THA,12,15,100
841,266,266,Earthquake,Thailand,THA,4,15,100
842,424,424,Epidemic,Thailand,THA,7,15,100
843,518,518,Extreme temperature,Thailand,THA,2,15,100
844,692,692,Flood,Thailand,THA,83,15,100
845,845,845,Landslide,Thailand,THA,3,15,100
846,1054,1054,Storm,Thailand,THA,41,15,100
847,1188,1188,Wildfire,Thailand,THA,1,15,100
794,133,133,Drought,South Sudan,SSD,2,8,30
795,412,412,Epidemic,South Sudan,SSD,7,8,30
796,679,679,Flood,South Sudan,SSD,13,8,30
797,1180,1180,Wildfire,South Sudan,SSD,1,8,30
89,13,13,Complex Disasters,Togo,TGO,1,8,1.1667
90,144,144,Drought,Togo,TGO,3,8,1.1667
91,426,426,Epidemic,Togo,TGO,12,8,1.1667
92,694,694,Flood,Togo,TGO,13,8,1.1667
93,1056,1056,Storm,Togo,TGO,1,8,1.1667
378,64,64,Drought,Ghana,GHA,3,8,-2
379,200,200,Earthquake,Ghana,GHA,1,8,-2
380,331,331,Epidemic,Ghana,GHA,22,8,-2
381,587,587,Flood,Ghana,GHA,25,8,-2
382,946,946,Storm,Ghana,GHA,1,8,-2
383,1140,1140,Wildfire,Ghana,GHA,1,8,-2
309,52,52,Drought,Côte d’Ivoire,CIV,1,8,-5
310,318,318,Epidemic,Côte d’Ivoire,CIV,14,8,-5
311,569,569,Flood,Côte d’Ivoire,CIV,14,8,-5
312,787,787,Landslide,Côte d’Ivoire,CIV,1,8,-5
346,59,59,Drought,Ethiopia,ETH,16,8,38
347,194,194,Earthquake,Ethiopia,ETH,2,8,38
348,325,325,Epidemic,Ethiopia,ETH,28,8,38
349,576,576,Flood,Ethiopia,ETH,57,8,38
350,731,731,Insect infestation,Ethiopia,ETH,5,8,38
351,790,790,Landslide,Ethiopia,ETH,7,8,38
352,862,862,Mass movement (dry),Ethiopia,ETH,1,8,38
353,1087,1087,Volcanic activity,Ethiopia,ETH,3,8,38
354,1136,1136,Wildfire,Ethiopia,ETH,1,8,38
903,154,154,Drought,Venezuela (Bolivarian Republic of),VEN,1,8,-66
904,278,278,Earthquake,Venezuela (Bolivarian Republic of),VEN,7,8,-66
905,435,435,Epidemic,Venezuela (Bolivarian Republic of),VEN,7,8,-66
906,707,707,Flood,Venezuela (Bolivarian Republic of),VEN,35,8,-66
907,853,853,Landslide,Venezuela (Bolivarian Republic of),VEN,4,8,-66
908,1069,1069,Storm,Venezuela (Bolivarian Republic of),VEN,4,8,-66
101,15,15,Drought,Afghanistan,AFG,8,33,65
102,161,161,Earthquake,Afghanistan,AFG,33,33,65
103,283,283,Epidemic,Afghanistan,AFG,20,33,65
104,441,441,Extreme temperature,Afghanistan,AFG,7,33,65
105,525,525,Flood,Afghanistan,AFG,96,33,65
106,718,718,Insect infestation,Afghanistan,AFG,1,33,65
107,761,761,Landslide,Afghanistan,AFG,27,33,65
108,883,883,Storm,Afghanistan,AFG,9,33,65
109,1112,1112,Wildfire,Afghanistan,AFG,1,33,65
462,78,78,Drought,Iraq,IRQ,2,33,44
463,213,213,Earthquake,Iraq,IRQ,2,33,44
464,342,342,Epidemic,Iraq,IRQ,7,33,44
465,603,603,Flood,Iraq,IRQ,15,33,44
110,16,16,Drought,Albania,ALB,1,41,20
111,162,162,Earthquake,Albania,ALB,16,41,20
112,284,284,Epidemic,Albania,ALB,2,41,20
113,442,442,Extreme temperature,Albania,ALB,5,41,20
114,526,526,Flood,Albania,ALB,15,41,20
115,762,762,Landslide,Albania,ALB,1,41,20
116,884,884,Storm,Albania,ALB,2,41,20
117,1113,1113,Wildfire,Albania,ALB,1,41,20
525,88,88,Drought,Kyrgyzstan,KGZ,1,41,75
526,222,222,Earthquake,Kyrgyzstan,KGZ,9,41,75
527,355,355,Epidemic,Kyrgyzstan,KGZ,3,41,75
528,484,484,Extreme temperature,Kyrgyzstan,KGZ,2,41,75
529,616,616,Flood,Kyrgyzstan,KGZ,4,41,75
530,811,811,Landslide,Kyrgyzstan,KGZ,9,41,75
531,972,972,Storm,Kyrgyzstan,KGZ,2,41,75
897,153,153,Drought,Uzbekistan,UZB,1,41,64
898,276,276,Earthquake,Uzbekistan,UZB,2,41,64
899,433,433,Epidemic,Uzbekistan,UZB,1,41,64
900,705,705,Flood,Uzbekistan,UZB,2,41,64
901,851,851,Landslide,Uzbekistan,UZB,1,41,64
902,882,882,Mass movement (dry),Uzbekistan,UZB,1,41,64
118,17,17,Drought,Algeria,DZA,1,28,3
119,163,163,Earthquake,Algeria,DZA,21,28,3
120,285,285,Epidemic,Algeria,DZA,2,28,3
121,443,443,Extreme temperature,Algeria,DZA,3,28,3
122,527,527,Flood,Algeria,DZA,51,28,3
123,719,719,Insect infestation,Algeria,DZA,2,28,3
124,763,763,Landslide,Algeria,DZA,1,28,3
125,885,885,Storm,Algeria,DZA,4,28,3
126,1114,1114,Wildfire,Algeria,DZA,2,28,3
640,108,108,Drought,Nepal,NPL,6,28,84
641,235,235,Earthquake,Nepal,NPL,7,28,84
642,379,379,Epidemic,Nepal,NPL,20,28,84
643,495,495,Extreme temperature,Nepal,NPL,8,28,84
644,642,642,Flood,Nepal,NPL,51,28,84
645,819,819,Landslide,Nepal,NPL,25,28,84
646,873,873,Mass movement (dry),Nepal,NPL,1,28,84
647,998,998,Storm,Nepal,NPL,8,28,84
648,1164,1164,Wildfire,Nepal,NPL,3,28,84
127,18,18,Drought,Angola,AGO,8,-12.5,18.5
128,286,286,Epidemic,Angola,AGO,20,-12.5,18.5
129,529,529,Flood,Angola,AGO,43,-12.5,18.5
130,764,764,Landslide,Angola,AGO,1,-12.5,18.5
131,19,19,Drought,Anguilla,AIA,1,18.25,-63.1667
132,287,287,Epidemic,Anguilla,AIA,5,18.25,-63.1667
133,530,530,Flood,Anguilla,AIA,1,18.25,-63.1667
134,887,887,Storm,Anguilla,AIA,7,18.25,-63.1667
483,81,81,Drought,Jamaica,JAM,4,18.25,-77.5
484,216,216,Earthquake,Jamaica,JAM,1,18.25,-77.5
485,346,346,Epidemic,Jamaica,JAM,5,18.25,-77.5
486,607,607,Flood,Jamaica,JAM,13,18.25,-77.5
487,806,806,Landslide,Jamaica,JAM,1,18.25,-77.5
488,867,867,Mass movement (dry),Jamaica,JAM,1,18.25,-77.5
489,964,964,Storm,Jamaica,JAM,31,18.25,-77.5
722,121,121,Drought,Puerto Rico,PRI,1,18.25,-66.5
723,246,246,Earthquake,Puerto Rico,PRI,3,18.25,-66.5
724,659,659,Flood,Puerto Rico,PRI,8,18.25,-66.5
725,828,828,Landslide,Puerto Rico,PRI,2,18.25,-66.5
726,1020,1020,Storm,Puerto Rico,PRI,23,18.25,-66.5
135,20,20,Drought,Antigua and Barbuda,ATG,1,17.05,-61.8
136,888,888,Storm,Antigua and Barbuda,ATG,12,17.05,-61.8
137,21,21,Drought,Argentina,ARG,4,-34,-64
138,165,165,Earthquake,Argentina,ARG,5,-34,-64
139,288,288,Epidemic,Argentina,ARG,2,-34,-64
140,444,444,Extreme temperature,Argentina,ARG,8,-34,-64
141,531,531,Flood,Argentina,ARG,66,-34,-64
142,765,765,Landslide,Argentina,ARG,5,-34,-64
143,889,889,Storm,Argentina,ARG,23,-34,-64
144,1076,1076,Volcanic activity,Argentina,ARG,4,-34,-64
145,1115,1115,Wildfire,Argentina,ARG,5,-34,-64
146,23,23,Drought,Australia,AUS,11,-27,133
147,167,167,Earthquake,Australia,AUS,3,-27,133
148,289,289,Epidemic,Australia,AUS,2,-27,133
149,446,446,Extreme temperature,Australia,AUS,7,-27,133
150,533,533,Flood,Australia,AUS,65,-27,133
151,720,720,Insect infestation,Australia,AUS,2,-27,133
152,767,767,Landslide,Australia,AUS,2,-27,133
153,891,891,Storm,Australia,AUS,109,-27,133
154,1116,1116,Wildfire,Australia,AUS,42,-27,133
155,24,24,Drought,Azerbaijan,AZE,1,40.5,47.5
156,169,169,Earthquake,Azerbaijan,AZE,6,40.5,47.5
157,448,448,Extreme temperature,Azerbaijan,AZE,1,40.5,47.5
158,535,535,Flood,Azerbaijan,AZE,7,40.5,47.5
159,769,769,Landslide,Azerbaijan,AZE,1,40.5,47.5
160,26,26,Drought,Barbados,BRB,1,13.1667,-59.5333
161,172,172,Earthquake,Barbados,BRB,1,13.1667,-59.5333
162,538,538,Flood,Barbados,BRB,2,13.1667,-59.5333
163,896,896,Storm,Barbados,BRB,8,13.1667,-59.5333
164,27,27,Drought,Belgium,BEL,1,50.8333,4
165,173,173,Earthquake,Belgium,BEL,2,50.8333,4
166,293,293,Epidemic,Belgium,BEL,1,50.8333,4
167,451,451,Extreme temperature,Belgium,BEL,14,50.8333,4
168,540,540,Flood,Belgium,BEL,23,50.8333,4
169,898,898,Storm,Belgium,BEL,30,50.8333,4
170,28,28,Drought,Benin,BEN,2,9.5,2.25
171,294,294,Epidemic,Benin,BEN,26,9.5,2.25
172,542,542,Flood,Benin,BEN,20,9.5,2.25
173,900,900,Storm,Benin,BEN,1,9.5,2.25
174,1117,1117,Wildfire,Benin,BEN,3,9.5,2.25
175,29,29,Drought,Bolivia (Plurinational State of),BOL,13,-17,-65
176,175,175,Earthquake,Bolivia (Plurinational State of),BOL,2,-17,-65
177,296,296,Epidemic,Bolivia (Plurinational State of),BOL,13,-17,-65
178,453,453,Extreme temperature,Bolivia (Plurinational State of),BOL,5,-17,-65
179,544,544,Flood,Bolivia (Plurinational State of),BOL,49,-17,-65
180,772,772,Landslide,Bolivia (Plurinational State of),BOL,9,-17,-65
181,903,903,Storm,Bolivia (Plurinational State of),BOL,2,-17,-65
182,1077,1077,Volcanic activity,Bolivia (Plurinational State of),BOL,1,-17,-65
183,1119,1119,Wildfire,Bolivia (Plurinational State of),BOL,5,-17,-65
998,252,252,Earthquake,Serbia,SRB,1,44,21
999,507,507,Extreme temperature,Serbia,SRB,9,44,21
1000,670,670,Flood,Serbia,SRB,16,44,21
184,30,30,Drought,Bosnia and Herzegovina,BIH,2,44,18
185,297,297,Epidemic,Bosnia and Herzegovina,BIH,1,44,18
186,454,454,Extreme temperature,Bosnia and Herzegovina,BIH,4,44,18
187,545,545,Flood,Bosnia and Herzegovina,BIH,16,44,18
188,773,773,Landslide,Bosnia and Herzegovina,BIH,1,44,18
189,904,904,Storm,Bosnia and Herzegovina,BIH,2,44,18
190,31,31,Drought,Botswana,BWA,7,-22,24
191,298,298,Epidemic,Botswana,BWA,3,-22,24
192,546,546,Flood,Botswana,BWA,11,-22,24
193,721,721,Insect infestation,Botswana,BWA,1,-22,24
194,905,905,Storm,Botswana,BWA,1,-22,24
637,107,107,Drought,Namibia,NAM,9,-22,17
638,378,378,Epidemic,Namibia,NAM,7,-22,17
639,641,641,Flood,Namibia,NAM,15,-22,17
195,32,32,Drought,Brazil,BRA,19,-10,-55
196,176,176,Earthquake,Brazil,BRA,2,-10,-55
197,299,299,Epidemic,Brazil,BRA,18,-10,-55
198,455,455,Extreme temperature,Brazil,BRA,8,-10,-55
199,547,547,Flood,Brazil,BRA,147,-10,-55
200,722,722,Insect infestation,Brazil,BRA,1,-10,-55
201,774,774,Landslide,Brazil,BRA,25,-10,-55
202,906,906,Storm,Brazil,BRA,20,-10,-55
203,1120,1120,Wildfire,Brazil,BRA,4,-10,-55
689,117,117,Drought,Peru,PER,8,-10,-76
690,242,242,Earthquake,Peru,PER,52,-10,-76
691,393,393,Epidemic,Peru,PER,14,-10,-76
692,502,502,Extreme temperature,Peru,PER,12,-10,-76
693,655,655,Flood,Peru,PER,61,-10,-76
694,748,748,Insect infestation,Peru,PER,1,-10,-76
695,826,826,Landslide,Peru,PER,34,-10,-76
696,876,876,Mass movement (dry),Peru,PER,2,-10,-76
697,1016,1016,Storm,Peru,PER,4,-10,-76
698,1101,1101,Volcanic activity,Peru,PER,4,-10,-76
699,1170,1170,Wildfire,Peru,PER,2,-10,-76
204,33,33,Drought,Bulgaria,BGR,2,43,25
205,177,177,Earthquake,Bulgaria,BGR,6,43,25
206,456,456,Extreme temperature,Bulgaria,BGR,9,43,25
207,548,548,Flood,Bulgaria,BGR,20,43,25
208,775,775,Landslide,Bulgaria,BGR,1,43,25
209,907,907,Storm,Bulgaria,BGR,6,43,25
210,1122,1122,Wildfire,Bulgaria,BGR,4,43,25
221,38,38,Drought,Cameroon,CMR,5,6,12
222,304,304,Epidemic,Cameroon,CMR,25,6,12
223,553,553,Flood,Cameroon,CMR,17,6,12
224,725,725,Insect infestation,Cameroon,CMR,2,6,12
225,777,777,Landslide,Cameroon,CMR,2,6,12
226,1079,1079,Volcanic activity,Cameroon,CMR,3,6,12
227,39,39,Drought,Canada,CAN,5,60,-95
228,179,179,Earthquake,Canada,CAN,1,60,-95
229,305,305,Epidemic,Canada,CAN,7,60,-95
230,457,457,Extreme temperature,Canada,CAN,6,60,-95
231,554,554,Flood,Canada,CAN,44,60,-95
232,778,778,Landslide,Canada,CAN,3,60,-95
233,857,857,Mass movement (dry),Canada,CAN,5,60,-95
234,911,911,Storm,Canada,CAN,46,60,-95
235,1123,1123,Wildfire,Canada,CAN,24,60,-95
734,123,123,Drought,Russian Federation (the),RUS,5,60,100
735,248,248,Earthquake,Russian Federation (the),RUS,10,60,100
736,396,396,Epidemic,Russian Federation (the),RUS,10,60,100
737,506,506,Extreme temperature,Russian Federation (the),RUS,21,60,100
738,662,662,Flood,Russian Federation (the),RUS,66,60,100
739,717,717,Impact,Russian Federation (the),RUS,1,60,100
740,750,750,Insect infestation,Russian Federation (the),RUS,1,60,100
741,830,830,Landslide,Russian Federation (the),RUS,9,60,100
742,1022,1022,Storm,Russian Federation (the),RUS,21,60,100
743,1174,1174,Wildfire,Russian Federation (the),RUS,24,60,100
242,42,42,Drought,Chile,CHL,2,-30,-71
243,180,180,Earthquake,Chile,CHL,28,-30,-71
244,308,308,Epidemic,Chile,CHL,1,-30,-71
245,459,459,Extreme temperature,Chile,CHL,9,-30,-71
246,558,558,Flood,Chile,CHL,35,-30,-71
247,780,780,Landslide,Chile,CHL,5,-30,-71
248,916,916,Storm,Chile,CHL,15,-30,-71
249,1080,1080,Volcanic activity,Chile,CHL,9,-30,-71
250,1126,1126,Wildfire,Chile,CHL,13,-30,-71
251,43,43,Drought,China,CHN,40,35,105
252,181,181,Earthquake,China,CHN,195,35,105
253,309,309,Epidemic,China,CHN,10,35,105
254,460,460,Extreme temperature,China,CHN,14,35,105
255,559,559,Flood,China,CHN,307,35,105
256,727,727,Insect infestation,China,CHN,1,35,105
257,781,781,Landslide,China,CHN,74,35,105
258,858,858,Mass movement (dry),China,CHN,7,35,105
259,917,917,Storm,China,CHN,314,35,105
260,1127,1127,Wildfire,China,CHN,8,35,105
303,51,51,Drought,Cyprus,CYP,2,35,33
304,188,188,Earthquake,Cyprus,CYP,2,35,33
305,317,317,Epidemic,Cyprus,CYP,2,35,33
306,462,462,Extreme temperature,Cyprus,CYP,3,35,33
307,925,925,Storm,Cyprus,CYP,4,35,33
308,1133,1133,Wildfire,Cyprus,CYP,1,35,33
817,139,139,Drought,Syrian Arab Republic,SYR,2,35,38
818,420,420,Epidemic,Syrian Arab Republic,SYR,2,35,38
819,688,688,Flood,Syrian Arab Republic,SYR,5,35,38
820,841,841,Landslide,Syrian Arab Republic,SYR,1,35,38
821,1050,1050,Storm,Syrian Arab Republic,SYR,4,35,38
