,Disaster Type,Country,ISO,counts
193,Earthquake,El Salvador,SLV,11
194,Earthquake,Ethiopia,ETH,2
195,Earthquake,Fiji,FJI,2
196,Earthquake,France,FRA,4
197,Earthquake,Georgia,GEO,4
198,Earthquake,Germany,DEU,2
199,Earthquake,Germany Fed Rep,DFR,1
200,Earthquake,Ghana,GHA,1
201,Earthquake,Greece,GRC,42
202,Earthquake,Guadeloupe,GLP,1
203,Earthquake,Guam,GUM,1
204,Earthquake,Guatemala,GTM,16
205,Earthquake,Guinea,GIN,1
206,Earthquake,Haiti,HTI,3
207,Earthquake,Honduras,HND,3
208,Earthquake,Hungary,HUN,1
209,Earthquake,Iceland,ISL,3
210,Earthquake,India,IND,26
211,Earthquake,Indonesia,IDN,133
212,Earthquake,Iran (Islamic Republic of),IRN,130
213,Earthquake,Iraq,IRQ,2
214,Earthquake,Israel,ISR,1
215,Earthquake,Italy,ITA,43
216,Earthquake,Jamaica,JAM,1
217,Earthquake,Japan,JPN,68
218,Earthquake,Jordan,JOR,1
219,Earthquake,Kazakhstan,KAZ,2
220,Earthquake,Kenya,KEN,2
221,Earthquake,Korea (the Republic of),KOR,2
222,Earthquake,Kyrgyzstan,KGZ,9
223,Earthquake,Lebanon,LBN,1
224,Earthquake,Libya,LBY,1
225,Earthquake,Macedonia (the former Yugoslav Republic of),MKD,1
226,Earthquake,Malawi,MWI,3
227,Earthquake,Malaysia,MYS,2
228,Earthquake,Maldives,MDV,1
229,Earthquake,Martinique,MTQ,1
230,Earthquake,Mexico,MEX,42
231,Earthquake,Mongolia,MNG,1
232,Earthquake,Morocco,MAR,4
233,Earthquake,Mozambique,MOZ,1
234,Earthquake,Myanmar,MMR,10
235,Earthquake,Nepal,NPL,7
236,Earthquake,Netherlands (the),NLD,1
237,Earthquake,New Zealand,NZL,10
238,Earthquake,Nicaragua,NIC,10
239,Earthquake,Pakistan,PAK,35
240,Earthquake,Panama,PAN,4
241,Earthquake,Papua New Guinea,PNG,18
242,Earthquake,Peru,PER,52
243,Earthquake,Philippines (the),PHL,40
244,Earthquake,Poland,POL,1
245,Earthquake,Portugal,PRT,2
246,Earthquake,Puerto Rico,PRI,3
247,Earthquake,Romania,ROU,11
248,Earthquake,Russian Federation (the),RUS,10
249,Earthquake,Rwanda,RWA,2
250,Earthquake,Saint Lucia,LCA,1
