,Disaster Type,Country,ISO,counts
691,Flood,"Tanzania, United Republic of",TZA,51
692,Flood,Thailand,THA,83
693,Flood,Timor-Leste,TLS,6
694,Flood,Togo,TGO,13
695,Flood,Trinidad and Tobago,TTO,3
696,Flood,Tunisia,TUN,18
697,Flood,Turkey,TUR,47
698,Flood,Turkmenistan,TKM,1
699,Flood,Uganda,UGA,30
700,Flood,Ukraine,UKR,16
701,Flood,United Arab Emirates (the),ARE,1
702,Flood,United Kingdom of Great Britain and Northern Ireland (the),GBR,36
703,Flood,United States of America (the),USA,191
704,Flood,Uruguay,URY,21
705,Flood,Uzbekistan,UZB,2
706,Flood,Vanuatu,VUT,2
707,Flood,Venezuela (Bolivarian Republic of),VEN,35
708,Flood,Viet Nam,VNM,94
709,Flood,Yemen,YEM,34
710,Flood,Yemen Arab Rep,YMN,3
711,Flood,Yemen P Dem Rep,YMD,5
712,Flood,Yugoslavia,YUG,6
713,Flood,Zambia,ZMB,22
714,Flood,Zimbabwe,ZWE,12
715,Fog,United Kingdom of Great Britain and Northern Ireland (the),GBR,1
716,Glacial lake outburst,India,IND,1
717,Impact,Russian Federation (the),RUS,1
718,Insect infestation,Afghanistan,AFG,1
719,Insect infestation,Algeria,DZA,2
720,Insect infestation,Australia,AUS,2
721,Insect infestation,Botswana,BWA,1
722,Insect infestation,Brazil,BRA,1
723,Insect infestation,Burkina Faso,BFA,3
724,Insect infestation,Cabo Verde,CPV,2
725,Insect infestation,Cameroon,CMR,2
726,Insect infestation,Chad,TCD,5
727,Insect infestation,China,CHN,1
728,Insect infestation,Colombia,COL,1
729,Insect infestation,Djibouti,DJI,1
730,Insect infestation,Eritrea,ERI,2
731,Insect infestation,Ethiopia,ETH,5
732,Insect infestation,Gambia (the),GMB,4
733,Insect infestation,Guinea-Bissau,GNB,3
734,Insect infestation,India,IND,1
735,Insect infestation,Iran (Islamic Republic of),IRN,1
736,Insect infestation,Jordan,JOR,1
737,Insect infestation,Kenya,KEN,1
738,Insect infestation,Liberia,LBR,1
739,Insect infestation,Libya,LBY,1
740,Insect infestation,Madagascar,MDG,2
741,Insect infestation,Mali,MLI,5
742,Insect infestation,Mauritania,MRT,4
743,Insect infestation,Morocco,MAR,4
744,Insect infestation,Mozambique,MOZ,1
745,Insect infestation,Niger (the),NER,6
746,Insect infestation,Nigeria,NGA,2
747,Insect infestation,Pakistan,PAK,2
748,Insect infestation,Peru,PER,1
749,Insect infestation,Philippines (the),PHL,2
750,Insect infestation,Russian Federation (the),RUS,1
751,Insect infestation,Senegal,SEN,5
752,Insect infestation,Somalia,SOM,1
753,Insect infestation,Sudan (the),SDN,6
754,Insect infestation,Tajikistan,TJK,1
755,Insect infestation,"Tanzania, United Republic of",TZA,3
756,Insect infestation,Tunisia,TUN,2
757,Insect infestation,Uganda,UGA,1
758,Insect infestation,Viet Nam,VNM,1
759,Insect infestation,Yemen Arab Rep,YMN,2
760,Insect infestation,Zambia,ZMB,2
761,Landslide,Afghanistan,AFG,27
762,Landslide,Albania,ALB,1
763,Landslide,Algeria,DZA,1
764,Landslide,Angola,AGO,1
765,Landslide,Argentina,ARG,5
766,Landslide,Armenia,ARM,1
767,Landslide,Australia,AUS,2
768,Landslide,Austria,AUT,8
769,Landslide,Azerbaijan,AZE,1
770,Landslide,Azores Islands,AZO,1
771,Landslide,Bangladesh,BGD,6
772,Landslide,Bolivia (Plurinational State of),BOL,9
773,Landslide,Bosnia and Herzegovina,BIH,1
774,Landslide,Brazil,BRA,25
775,Landslide,Bulgaria,BGR,1
776,Landslide,Burundi,BDI,3
777,Landslide,Cameroon,CMR,2
778,Landslide,Canada,CAN,3
779,Landslide,Chad,TCD,1
780,Landslide,Chile,CHL,5
781,Landslide,China,CHN,74
782,Landslide,Colombia,COL,44
783,Landslide,Congo (the Democratic Republic of the),COD,8
784,Landslide,Congo (the),COG,1
785,Landslide,Costa Rica,CRI,1
786,Landslide,Czechoslovakia,CSK,2
787,Landslide,Côte d’Ivoire,CIV,1
788,Landslide,Ecuador,ECU,16
789,Landslide,El Salvador,SLV,3
790,Landslide,Ethiopia,ETH,7
791,Landslide,France,FRA,13
792,Landslide,French Guiana,GUF,1
793,Landslide,French Polynesia,PYF,3
794,Landslide,Germany,DEU,1
795,Landslide,Guatemala,GTM,11
796,Landslide,Guinea,GIN,1
797,Landslide,Haiti,HTI,2
798,Landslide,Honduras,HND,1
799,Landslide,Hong Kong,HKG,6
800,Landslide,Iceland,ISL,4
801,Landslide,India,IND,51
802,Landslide,Indonesia,IDN,63
803,Landslide,Iran (Islamic Republic of),IRN,5
804,Landslide,Israel,ISR,1
805,Landslide,Italy,ITA,16
806,Landslide,Jamaica,JAM,1
807,Landslide,Japan,JPN,22
808,Landslide,Kazakhstan,KAZ,1
809,Landslide,Kenya,KEN,5
810,Landslide,Korea (the Republic of),KOR,9
811,Landslide,Kyrgyzstan,KGZ,9
812,Landslide,Malawi,MWI,1
813,Landslide,Malaysia,MYS,4
814,Landslide,Mexico,MEX,12
815,Landslide,Mongolia,MNG,1
816,Landslide,Morocco,MAR,2
817,Landslide,Mozambique,MOZ,2
818,Landslide,Myanmar,MMR,10
819,Landslide,Nepal,NPL,25
820,Landslide,New Zealand,NZL,1
821,Landslide,Nicaragua,NIC,1
822,Landslide,Nigeria,NGA,3
823,Landslide,Norway,NOR,3
824,Landslide,Pakistan,PAK,23
825,Landslide,Papua New Guinea,PNG,14
826,Landslide,Peru,PER,34
827,Landslide,Philippines (the),PHL,31
828,Landslide,Puerto Rico,PRI,2
829,Landslide,Romania,ROU,1
830,Landslide,Russian Federation (the),RUS,9
831,Landslide,Rwanda,RWA,5
832,Landslide,Réunion,REU,1
833,Landslide,Saint Lucia,LCA,1
834,Landslide,Sierra Leone,SLE,2
835,Landslide,South Africa,ZAF,1
836,Landslide,Soviet Union,SUN,7
837,Landslide,Spain,ESP,1
838,Landslide,Sri Lanka,LKA,6
839,Landslide,Sweden,SWE,1
840,Landslide,Switzerland,CHE,10
841,Landslide,Syrian Arab Republic,SYR,1
842,Landslide,Taiwan (Province of China),TWN,1
843,Landslide,Tajikistan,TJK,13
844,Landslide,"Tanzania, United Republic of",TZA,1
845,Landslide,Thailand,THA,3
846,Landslide,Trinidad and Tobago,TTO,1
847,Landslide,Turkey,TUR,14
848,Landslide,Uganda,UGA,9
849,Landslide,United Kingdom of Great Britain and Northern Ireland (the),GBR,1
850,Landslide,United States of America (the),USA,6
851,Landslide,Uzbekistan,UZB,1
852,Landslide,Vanuatu,VUT,1
853,Landslide,Venezuela (Bolivarian Republic of),VEN,4
854,Landslide,Viet Nam,VNM,6
855,Landslide,Yemen,YEM,3
856,Landslide,Zambia,ZMB,1
857,Mass movement (dry),Canada,CAN,5
858,Mass movement (dry),China,CHN,7
859,Mass movement (dry),Colombia,COL,3
860,Mass movement (dry),Ecuador,ECU,1
861,Mass movement (dry),Egypt,EGY,2
862,Mass movement (dry),Ethiopia,ETH,1
863,Mass movement (dry),Guatemala,GTM,2
864,Mass movement (dry),Honduras,HND,1
865,Mass movement (dry),India,IND,2
866,Mass movement (dry),Indonesia,IDN,1
867,Mass movement (dry),Jamaica,JAM,1
868,Mass movement (dry),Lebanon,LBN,1
869,Mass movement (dry),Liberia,LBR,1
870,Mass movement (dry),Malaysia,MYS,1
871,Mass movement (dry),Morocco,MAR,1
872,Mass movement (dry),Myanmar,MMR,1
873,Mass movement (dry),Nepal,NPL,1
874,Mass movement (dry),Pakistan,PAK,2
875,Mass movement (dry),Papua New Guinea,PNG,2
876,Mass movement (dry),Peru,PER,2
877,Mass movement (dry),Philippines (the),PHL,3
878,Mass movement (dry),Soviet Union,SUN,3
879,Mass movement (dry),Switzerland,CHE,1
880,Mass movement (dry),Tajikistan,TJK,1
881,Mass movement (dry),Turkey,TUR,1
882,Mass movement (dry),Uzbekistan,UZB,1
883,Storm,Afghanistan,AFG,9
884,Storm,Albania,ALB,2
885,Storm,Algeria,DZA,4
886,Storm,American Samoa,ASM,4
887,Storm,Anguilla,AIA,7
888,Storm,Antigua and Barbuda,ATG,12
889,Storm,Argentina,ARG,23
890,Storm,Armenia,ARM,4
891,Storm,Australia,AUS,109
892,Storm,Austria,AUT,20
893,Storm,Azores Islands,AZO,2
894,Storm,Bahamas (the),BHS,26
895,Storm,Bangladesh,BGD,181
896,Storm,Barbados,BRB,8
897,Storm,Belarus,BLR,2
898,Storm,Belgium,BEL,30
899,Storm,Belize,BLZ,16
900,Storm,Benin,BEN,1
901,Storm,Bermuda,BMU,6
902,Storm,Bhutan,BTN,2
903,Storm,Bolivia (Plurinational State of),BOL,2
904,Storm,Bosnia and Herzegovina,BIH,2
905,Storm,Botswana,BWA,1
906,Storm,Brazil,BRA,20
907,Storm,Bulgaria,BGR,6
908,Storm,Burundi,BDI,7
909,Storm,Cabo Verde,CPV,3
910,Storm,Cambodia,KHM,6
911,Storm,Canada,CAN,46
912,Storm,Canary Is,SPI,3
913,Storm,Cayman Islands (the),CYM,7
914,Storm,Central African Republic,CAF,10
915,Storm,Chad,TCD,3
916,Storm,Chile,CHL,15
917,Storm,China,CHN,314
918,Storm,Colombia,COL,11
919,Storm,Comoros (the),COM,9
920,Storm,Congo (the Democratic Republic of the),COD,5
921,Storm,Cook Islands (the),COK,11
922,Storm,Costa Rica,CRI,10
923,Storm,Croatia,HRV,2
924,Storm,Cuba,CUB,47
925,Storm,Cyprus,CYP,4
926,Storm,Czech Republic (the),CZE,8
927,Storm,Czechoslovakia,CSK,3
928,Storm,Denmark,DNK,15
929,Storm,Djibouti,DJI,2
930,Storm,Dominica,DMA,14
931,Storm,Dominican Republic (the),DOM,39
932,Storm,Egypt,EGY,8
933,Storm,El Salvador,SLV,19
934,Storm,Eritrea,ERI,1
935,Storm,Estonia,EST,1
936,Storm,Fiji,FJI,44
937,Storm,Finland,FIN,2
938,Storm,France,FRA,70
939,Storm,French Polynesia,PYF,4
940,Storm,Gabon,GAB,3
941,Storm,Gambia (the),GMB,5
942,Storm,Georgia,GEO,3
943,Storm,Germany,DEU,45
944,Storm,Germany Dem Rep,DDR,3
945,Storm,Germany Fed Rep,DFR,10
946,Storm,Ghana,GHA,1
947,Storm,Greece,GRC,9
948,Storm,Grenada,GRD,5
949,Storm,Guadeloupe,GLP,13
950,Storm,Guam,GUM,9
951,Storm,Guatemala,GTM,20
952,Storm,Guinea,GIN,1
953,Storm,Guinea-Bissau,GNB,3
954,Storm,Haiti,HTI,45
955,Storm,Honduras,HND,26
956,Storm,Hong Kong,HKG,65
957,Storm,Hungary,HUN,8
958,Storm,India,IND,203
959,Storm,Indonesia,IDN,13
960,Storm,Iran (Islamic Republic of),IRN,13
961,Storm,Ireland,IRL,16
962,Storm,Israel,ISR,4
963,Storm,Italy,ITA,30
964,Storm,Jamaica,JAM,31
965,Storm,Japan,JPN,187
966,Storm,Jordan,JOR,3
967,Storm,Kazakhstan,KAZ,1
968,Storm,Kenya,KEN,1
969,Storm,Kiribati,KIR,2
970,Storm,Korea (the Democratic People's Republic of),PRK,10
971,Storm,Korea (the Republic of),KOR,60
972,Storm,Kyrgyzstan,KGZ,2
973,Storm,Lao People's Democratic Republic (the),LAO,10
974,Storm,Latvia,LVA,3
975,Storm,Lebanon,LBN,7
976,Storm,Lesotho,LSO,7
977,Storm,Liberia,LBR,2
978,Storm,Lithuania,LTU,3
979,Storm,Luxembourg,LUX,9
980,Storm,Macao,MAC,6
981,Storm,Macedonia (the former Yugoslav Republic of),MKD,1
982,Storm,Madagascar,MDG,60
983,Storm,Malawi,MWI,3
984,Storm,Malaysia,MYS,8
985,Storm,Maldives,MDV,1
986,Storm,Marshall Islands (the),MHL,2
987,Storm,Martinique,MTQ,15
988,Storm,Mauritania,MRT,3
989,Storm,Mauritius,MUS,19
990,Storm,Mexico,MEX,114
991,Storm,Micronesia (Federated States of),FSM,7
992,Storm,Moldova (the Republic of),MDA,2
993,Storm,Mongolia,MNG,12
994,Storm,Montserrat,MSR,4
995,Storm,Morocco,MAR,4
996,Storm,Mozambique,MOZ,27
997,Storm,Myanmar,MMR,21
998,Storm,Nepal,NPL,8
999,Storm,Netherlands (the),NLD,25
1000,Storm,Netherlands Antilles,ANT,4
1001,Storm,New Caledonia,NCL,16
1002,Storm,New Zealand,NZL,13
1003,Storm,Nicaragua,NIC,24
1004,Storm,Niger (the),NER,1
1005,Storm,Nigeria,NGA,6
1006,Storm,Niue,NIU,5
1007,Storm,Northern Mariana Islands (the),MNP,4
1008,Storm,Norway,NOR,7
1009,Storm,Oman,OMN,11
1010,Storm,Pakistan,PAK,29
1011,Storm,Palau,PLW,2
1012,Storm,"Palestine, State of",PSE,3
1013,Storm,Panama,PAN,8
1014,Storm,Papua New Guinea,PNG,7
1015,Storm,Paraguay,PRY,8
1016,Storm,Peru,PER,4
1017,Storm,Philippines (the),PHL,370
1018,Storm,Poland,POL,19
1019,Storm,Portugal,PRT,11
1020,Storm,Puerto Rico,PRI,23
1021,Storm,Romania,ROU,11
1022,Storm,Russian Federation (the),RUS,21
1023,Storm,Rwanda,RWA,2
1024,Storm,Réunion,REU,11
1025,Storm,Saint Barthélemy,BLM,1
1026,Storm,"Saint Helena, Ascension and Tristan da Cunha",SHN,1
1027,Storm,Saint Kitts and Nevis,KNA,9
1028,Storm,Saint Lucia,LCA,14
1029,Storm,Saint Martin (French Part),MAF,1
1030,Storm,Saint Vincent and the Grenadines,VCT,10
1031,Storm,Samoa,WSM,11
1032,Storm,Saudi Arabia,SAU,2
1033,Storm,Senegal,SEN,3
1034,Storm,Serbia Montenegro,SCG,1
1035,Storm,Seychelles,SYC,2
1036,Storm,Sierra Leone,SLE,3
1037,Storm,Sint Maarten (Dutch part),SXM,1
1038,Storm,Slovakia,SVK,3
1039,Storm,Slovenia,SVN,3
1040,Storm,Solomon Islands,SLB,19
1041,Storm,Somalia,SOM,7
1042,Storm,South Africa,ZAF,31
1043,Storm,Soviet Union,SUN,5
1044,Storm,Spain,ESP,27
1045,Storm,Sri Lanka,LKA,11
1046,Storm,Sudan (the),SDN,2
1047,Storm,Swaziland,SWZ,3
1048,Storm,Sweden,SWE,8
1049,Storm,Switzerland,CHE,33
1050,Storm,Syrian Arab Republic,SYR,4
1051,Storm,Taiwan (Province of China),TWN,85
1052,Storm,Tajikistan,TJK,2
1053,Storm,"Tanzania, United Republic of",TZA,6
1054,Storm,Thailand,THA,41
1055,Storm,Timor-Leste,TLS,1
1056,Storm,Togo,TGO,1
1057,Storm,Tokelau,TKL,6
1058,Storm,Tonga,TON,18
1059,Storm,Trinidad and Tobago,TTO,7
1060,Storm,Turkey,TUR,11
1061,Storm,Turks and Caicos Islands (the),TCA,7
1062,Storm,Tuvalu,TUV,7
1063,Storm,Uganda,UGA,5
1064,Storm,Ukraine,UKR,8
1065,Storm,United Kingdom of Great Britain and Northern Ireland (the),GBR,42
1066,Storm,United States of America (the),USA,670
1067,Storm,Uruguay,URY,7
1068,Storm,Vanuatu,VUT,29
1069,Storm,Venezuela (Bolivarian Republic of),VEN,4
1070,Storm,Viet Nam,VNM,123
1071,Storm,Virgin Island (British),VGB,4
1072,Storm,Virgin Island (U.S.),VIR,8
1073,Storm,Wallis and Futuna,WLF,4
1074,Storm,Yemen,YEM,6
1075,Storm,Zimbabwe,ZWE,8
1076,Volcanic activity,Argentina,ARG,4
1077,Volcanic activity,Bolivia (Plurinational State of),BOL,1
1078,Volcanic activity,Cabo Verde,CPV,2
1079,Volcanic activity,Cameroon,CMR,3
1080,Volcanic activity,Chile,CHL,9
1081,Volcanic activity,Colombia,COL,11
1082,Volcanic activity,Comoros (the),COM,6
1083,Volcanic activity,Congo (the Democratic Republic of the),COD,3
1084,Volcanic activity,Costa Rica,CRI,7
1085,Volcanic activity,Ecuador,ECU,14
1086,Volcanic activity,El Salvador,SLV,2
1087,Volcanic activity,Ethiopia,ETH,3
1088,Volcanic activity,Guadeloupe,GLP,1
1089,Volcanic activity,Guatemala,GTM,13
1090,Volcanic activity,Iceland,ISL,5
1091,Volcanic activity,Indonesia,IDN,59
1092,Volcanic activity,Italy,ITA,6
1093,Volcanic activity,Japan,JPN,16
1094,Volcanic activity,Martinique,MTQ,1
1095,Volcanic activity,Mexico,MEX,10
1096,Volcanic activity,Montserrat,MSR,4
1097,Volcanic activity,New Zealand,NZL,3
1098,Volcanic activity,Nicaragua,NIC,5
1099,Volcanic activity,Northern Mariana Islands (the),MNP,1
1100,Volcanic activity,Papua New Guinea,PNG,17
1101,Volcanic activity,Peru,PER,4
1102,Volcanic activity,Philippines (the),PHL,28
1103,Volcanic activity,Réunion,REU,1
1104,Volcanic activity,Saint Vincent and the Grenadines,VCT,3
1105,Volcanic activity,Solomon Islands,SLB,1
1106,Volcanic activity,Soviet Union,SUN,1
1107,Volcanic activity,Tonga,TON,1
1108,Volcanic activity,Trinidad and Tobago,TTO,1
1109,Volcanic activity,United States of America (the),USA,2
1110,Volcanic activity,Vanuatu,VUT,7
1111,Volcanic activity,Yemen,YEM,1
1112,Wildfire,Afghanistan,AFG,1
1113,Wildfire,Albania,ALB,1
1114,Wildfire,Algeria,DZA,2
1115,Wildfire,Argentina,ARG,5
1116,Wildfire,Australia,AUS,42
1117,Wildfire,Benin,BEN,3
1118,Wildfire,Bhutan,BTN,1
1119,Wildfire,Bolivia (Plurinational State of),BOL,5
1120,Wildfire,Brazil,BRA,4
1121,Wildfire,Brunei Darussalam,BRN,1
1122,Wildfire,Bulgaria,BGR,4
1123,Wildfire,Canada,CAN,24
1124,Wildfire,Canary Is,SPI,1
1125,Wildfire,Central African Republic,CAF,2
1126,Wildfire,Chile,CHL,13
1127,Wildfire,China,CHN,8
1128,Wildfire,Colombia,COL,3
1129,Wildfire,Congo (the Democratic Republic of the),COD,3
1130,Wildfire,Costa Rica,CRI,2
1131,Wildfire,Croatia,HRV,6
1132,Wildfire,Cuba,CUB,2
1133,Wildfire,Cyprus,CYP,1
1134,Wildfire,Dominican Republic (the),DOM,3
1135,Wildfire,Ecuador,ECU,3
1136,Wildfire,Ethiopia,ETH,1
1137,Wildfire,France,FRA,13
1138,Wildfire,Gambia (the),GMB,1
1139,Wildfire,Germany Fed Rep,DFR,1
1140,Wildfire,Ghana,GHA,1
1141,Wildfire,Greece,GRC,14
1142,Wildfire,Guatemala,GTM,2
1143,Wildfire,Guinea,GIN,1
1144,Wildfire,Guinea-Bissau,GNB,1
1145,Wildfire,Honduras,HND,1
1146,Wildfire,Hong Kong,HKG,32
1147,Wildfire,India,IND,4
1148,Wildfire,Indonesia,IDN,11
1149,Wildfire,Iran (Islamic Republic of),IRN,1
1150,Wildfire,Israel,ISR,5
1151,Wildfire,Italy,ITA,7
1152,Wildfire,Japan,JPN,1
1153,Wildfire,Kazakhstan,KAZ,1
1154,Wildfire,Korea (the Republic of),KOR,4
1155,Wildfire,Latvia,LVA,1
1156,Wildfire,Lebanon,LBN,2
1157,Wildfire,Macedonia (the former Yugoslav Republic of),MKD,2
1158,Wildfire,Malaysia,MYS,4
1159,Wildfire,Mexico,MEX,5
1160,Wildfire,Mongolia,MNG,3
1161,Wildfire,Montenegro,MNE,1
1162,Wildfire,Mozambique,MOZ,1
1163,Wildfire,Myanmar,MMR,2
1164,Wildfire,Nepal,NPL,3
1165,Wildfire,New Zealand,NZL,2
1166,Wildfire,Nicaragua,NIC,3
1167,Wildfire,Panama,PAN,1
1168,Wildfire,Papua New Guinea,PNG,1
1169,Wildfire,Paraguay,PRY,2
1170,Wildfire,Peru,PER,2
1171,Wildfire,Philippines (the),PHL,1
1172,Wildfire,Poland,POL,2
1173,Wildfire,Portugal,PRT,14
1174,Wildfire,Russian Federation (the),RUS,24
1175,Wildfire,Samoa,WSM,1
1176,Wildfire,Serbia Montenegro,SCG,1
1177,Wildfire,Sierra Leone,SLE,1
1178,Wildfire,Slovakia,SVK,1
1179,Wildfire,South Africa,ZAF,10
1180,Wildfire,South Sudan,SSD,1
1181,Wildfire,Soviet Union,SUN,1
1182,Wildfire,Spain,ESP,17
1183,Wildfire,Sudan (the),SDN,1
1184,Wildfire,Swaziland,SWZ,1
1185,Wildfire,Sweden,SWE,1
1186,Wildfire,Syrian Arab Republic,SYR,1
1187,Wildfire,"Tanzania, United Republic of",TZA,1
1188,Wildfire,Thailand,THA,1
1189,Wildfire,Tunisia,TUN,1
1190,Wildfire,Turkey,TUR,5
1191,Wildfire,Ukraine,UKR,2
1192,Wildfire,United States of America (the),USA,87
1193,Wildfire,Viet Nam,VNM,1
1194,Wildfire,Yugoslavia,YUG,2
