,Unnamed: 0,milking_id,milking_oid,farm_id,animal_id,lactation_id,milking_system_id,mastiman_trial_id,weather_id,parity,started_at,ended_at,previously_ended_at,mi,dim,tmy,mylf,myrf,mylr,myrr,LS,tmy_h
3396,3396,120220000000000.0,2596801,1,3595,4117,13,,,3,03/01/2022 00:27,03/01/2022 00:35,02/01/2022 17:48,6.78,25.02,7.51,1.7,1.74,2.12,1.95,Early,1.107669616519174
3397,3397,120220000000000.0,2596860,1,3595,4117,13,,,3,03/01/2022 06:29,03/01/2022 06:35,03/01/2022 00:35,6.0,25.27,6.69,1.47,1.52,1.84,1.86,Early,1.115
3398,3398,120220000000000.0,2596924,1,3595,4117,13,,,3,03/01/2022 12:11,03/01/2022 12:17,03/01/2022 06:35,5.71,25.51,6.24,1.37,1.47,1.76,1.64,Early,1.0928196147110334
3399,3399,120220000000000.0,2597056,1,3595,4117,13,,,3,03/01/2022 23:58,04/01/2022 00:05,03/01/2022 12:17,11.8,26.0,12.15,2.74,2.86,3.39,3.16,Early,1.0296610169491525
3400,3400,120220000000000.0,2597122,1,3595,4117,13,,,3,04/01/2022 06:13,04/01/2022 06:19,04/01/2022 00:05,6.23,26.26,6.89,1.57,1.58,1.96,1.78,Early,1.1059390048154092
3401,3401,120220000000000.0,2597189,1,3595,4117,13,,,3,04/01/2022 14:04,04/01/2022 14:12,04/01/2022 06:19,7.89,26.59,8.02,1.86,1.79,2.26,2.11,Early,1.0164765525982256
3402,3402,120220000000000.0,2597272,1,3595,4117,13,,,3,04/01/2022 20:57,04/01/2022 21:03,04/01/2022 14:12,6.85,26.88,7.19,1.59,1.7,1.95,1.95,Early,1.0496350364963505
3403,3403,120220000000000.0,2597351,1,3595,4117,13,,,3,05/01/2022 04:03,05/01/2022 04:09,04/01/2022 21:03,7.09,27.17,7.45,1.69,1.8,2.03,1.93,Early,1.0507757404795488
3404,3404,120220000000000.0,2597427,1,3595,4117,13,,,3,05/01/2022 12:00,05/01/2022 12:06,05/01/2022 04:09,7.95,27.5,8.06,1.85,1.89,2.21,2.11,Early,1.0138364779874214
3405,3405,120220000000000.0,2597558,1,3595,4117,13,,,3,06/01/2022 00:36,06/01/2022 00:43,05/01/2022 12:06,12.62,28.03,12.19,2.8,2.8,3.4,3.19,Early,0.9659270998415214
3406,3406,120220000000000.0,2597653,1,3595,4117,13,,,3,06/01/2022 10:00,06/01/2022 10:06,06/01/2022 00:43,9.39,28.42,9.61,2.16,2.21,2.69,2.55,Early,1.0234291799787005
3407,3407,120220000000000.0,2597764,1,3595,4117,13,,,3,06/01/2022 19:32,06/01/2022 19:38,06/01/2022 10:06,9.52,28.82,8.33,1.88,1.96,2.3,2.19,Early,0.875
3408,3408,120220000000000.0,2597837,1,3595,4117,13,,,3,07/01/2022 02:27,07/01/2022 02:33,06/01/2022 19:38,6.92,29.11,5.49,1.21,1.29,1.52,1.47,Early,0.7933526011560694
3409,3409,120220000000000.0,2597921,1,3595,4117,13,,,3,07/01/2022 10:59,07/01/2022 11:07,07/01/2022 02:33,8.57,29.46,4.89,1.48,1.54,1.87,0.0,Early,0.5705950991831972
3410,3410,120220000000000.0,2598024,1,3595,4117,13,,,3,07/01/2022 19:51,07/01/2022 19:57,07/01/2022 11:07,8.84,29.83,7.04,1.29,1.29,3.02,1.44,Early,0.7963800904977376
3411,3411,120220000000000.0,2598095,1,3595,4117,13,,,3,08/01/2022 02:06,08/01/2022 02:14,07/01/2022 19:57,6.28,30.09,3.52,0.86,0.84,0.9,0.92,Early,0.5605095541401274
3412,3412,120220000000000.0,2598146,1,3595,4117,13,,,3,08/01/2022 07:36,08/01/2022 07:41,08/01/2022 02:14,5.45,30.32,3.19,0.73,0.75,0.84,0.87,Early,0.5853211009174312
3413,3413,120220000000000.0,2598220,1,3595,4117,13,,,3,08/01/2022 13:06,08/01/2022 13:12,08/01/2022 07:41,5.52,30.55,3.89,0.91,0.94,1.03,1.01,Early,0.7047101449275364
3414,3414,120220000000000.0,2598286,1,3595,4117,13,,,3,08/01/2022 19:11,08/01/2022 19:17,08/01/2022 13:12,6.09,30.8,5.13,1.14,1.21,1.38,1.4,Early,0.8423645320197044
3415,3415,120220000000000.0,2598401,1,3595,4117,13,,,3,09/01/2022 05:08,09/01/2022 05:15,08/01/2022 19:17,9.97,31.22,8.97,2.0,2.13,2.43,2.41,Early,0.8996990972918756
3416,3416,120220000000000.0,2598485,1,3595,4117,13,,,3,09/01/2022 12:42,09/01/2022 12:49,09/01/2022 05:15,7.57,31.53,7.1,1.66,1.63,1.95,1.86,Early,0.9379128137384412
3417,3417,120220000000000.0,2598586,1,3595,4117,13,,,3,09/01/2022 21:13,09/01/2022 21:20,09/01/2022 12:49,8.51,31.89,7.66,1.73,1.85,2.11,1.97,Early,0.900117508813161
3418,3418,120220000000000.0,2598660,1,3595,4117,13,,,3,10/01/2022 04:21,10/01/2022 04:28,09/01/2022 21:20,7.14,32.19,6.2,1.4,1.44,1.69,1.67,Early,0.8683473389355743
3419,3419,120220000000000.0,2598715,1,3595,4117,13,,,3,10/01/2022 10:08,10/01/2022 10:15,10/01/2022 04:28,5.78,32.43,5.07,1.17,1.19,1.34,1.37,Early,0.8771626297577855
